NR_041599.1,Acanthopleuribacter pedis strain NBRC 101209 16S ribosomal RNA,Bacteria; Acidobacteria; Holophagae; Acanthopleuribacterales; Acanthopleuribacteraceae; Acanthopleuribacter; pedis; NBRC 101209
NR_151869.1,Actinorhabdospora filicis strain K12-0408 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinorhabdospora; filicis; K12-0408
NR_136794.2,Actinorugispora endophytica strain YIM 690008 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Nocardiopsaceae; Actinorugispora; endophytica; YIM 690008
NR_042363.1,Actinospica acidiphila strain GE134766 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Catenulisporales; Actinospicaceae; Actinospica; acidiphila; GE134766
NR_145531.1,Actinospica durhamensis strain CSCA57 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Catenulisporales; Actinospicaceae; Actinospica; durhamensis; CSCA57
NR_042364.1,Actinospica robiniae DSM 44927 strain GE134769 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Catenulisporales; Actinospicaceae; Actinospica; robiniae; DSM 44927 | GE134769
NR_119181.1,Actinosynnema mirum DSM 43827 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinosynnema; mirum; DSM 43827
NR_074438.1,Actinosynnema mirum DSM 43827 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinosynnema; mirum; DSM 43827
NR_115633.1,Actinosynnema mirum strain IFO 14064 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinosynnema; mirum; IFO 14064
NR_041822.1,Actinosynnema mirum strain IMSNU 20048 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinosynnema; mirum; IMSNU 20048
NR_028737.1,Actinosynnema pretiosum strain C-15003 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinosynnema; pretiosum; C-15003
NR_112681.1,Actinosynnema pretiosum strain NBRC 15621 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinosynnema; pretiosum; NBRC 15621
NR_041600.1,Actinosynnema pretiosum subsp. auranticum strain NBRC 15620 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinosynnema; pretiosum; NBRC 15620
NR_156871.1,Actinotalea caeni strain EBR-4-2 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Cellulomonadaceae; Actinotalea; caeni; EBR-4-2
NR_119160.1,Actinotalea fermentans ATCC 43279 = JCM 9966 = DSM 3133 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Cellulomonadaceae; Actinotalea; fermentans; ATCC 43279 | JCM 9966 | DSM 3133
NR_026176.1,Actinotalea fermentans ATCC 43279 = JCM 9966 = DSM 3133 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Cellulomonadaceae; Actinotalea; fermentans; ATCC 43279 | JCM 9966 | DSM 3133
NR_118034.1,Actinotalea ferrariae CF5-4 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Cellulomonadaceae; Actinotalea; ferrariae; CF5-4
NR_159882.1,Actinotalea solisilvae strain THG-T121 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Cellulomonadaceae; Actinotalea; solisilvae; THG-T121
NR_029339.1,Actinotignum schaalii strain B 5329 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinotignum; schaalii; B 5329
NR_119244.1,Actinotignum schaalii strain CCUG 27420 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinotignum; schaalii; CCUG 27420
NR_116869.1,Actinotignum schaalii strain CCUG 27420 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinotignum; schaalii; CCUG 27420
NR_028978.1,Actinotignum urinale strain R9242 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinotignum; urinale; R9242
NR_121696.1,Adlercreutzia equolifaciens strain DSM 19450 16S ribosomal RNA,Bacteria; Actinobacteria; Coriobacteriia; Eggerthellales; Eggerthellaceae; Adlercreutzia; equolifaciens; DSM 19450
NR_041609.1,Adlercreutzia equolifaciens strain FJC-B9 16S ribosomal RNA,Bacteria; Actinobacteria; Coriobacteriia; Eggerthellales; Eggerthellaceae; Adlercreutzia; equolifaciens; FJC-B9
NR_113407.1,Adlercreutzia equolifaciens strain JCM 14793 16S ribosomal RNA,Bacteria; Actinobacteria; Coriobacteriia; Eggerthellales; Eggerthellaceae; Adlercreutzia; equolifaciens; JCM 14793
NR_042759.1,Aeriscardovia aeriphila strain T6 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Aeriscardovia; aeriphila; T6
NR_043207.1,Aeromicrobium alkaliterrae strain KSL-107 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Propionibacteriales; Nocardioidaceae; Aeromicrobium; alkaliterrae; KSL-107
NR_145848.1,Aeromicrobium camelliae strain YS17 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Propionibacteriales; Nocardioidaceae; Aeromicrobium; camelliae; YS17
NR_156062.1,Aeromicrobium choanae strain 9H-4 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Propionibacteriales; Nocardioidaceae; Aeromicrobium; choanae; 9H-4
NR_024846.1,Aeromicrobium erythreum strain NRRL B-3381 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Propionibacteriales; Nocardioidaceae; Aeromicrobium; erythreum; NRRL B-3381
NR_119352.1,Aeromicrobium fastidiosum strain DSM 10552 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Propionibacteriales; Nocardioidaceae; Aeromicrobium; fastidiosum; DSM 10552
NR_044983.2,Aeromicrobium fastidiosum strain KCTC 9576 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Propionibacteriales; Nocardioidaceae; Aeromicrobium; fastidiosum; KCTC 9576
NR_118885.1,Aeromicrobium fastidiosum strain NCIB 12713 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Propionibacteriales; Nocardioidaceae; Aeromicrobium; fastidiosum; NCIB 12713
NR_044109.1,Aeromicrobium flavum strain TYLN1 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Propionibacteriales; Nocardioidaceae; Aeromicrobium; flavum; TYLN1
NR_041384.1,Aeromicrobium ginsengisoli strain Gsoil 098 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Propionibacteriales; Nocardioidaceae; Aeromicrobium; ginsengisoli; Gsoil 98
NR_104488.1,Aeromicrobium halocynthiae strain KME 001 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Propionibacteriales; Nocardioidaceae; Aeromicrobium; halocynthiae; KME 1
NR_025681.1,Aeromicrobium marinum strain T2 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Propionibacteriales; Nocardioidaceae; Aeromicrobium; marinum; T2
NR_125588.1,Aeromicrobium massiliense JC14 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Propionibacteriales; Nocardioidaceae; Aeromicrobium; massiliense; JC14
NR_041382.1,Aeromicrobium panaciterrae strain Gsoil 161 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Propionibacteriales; Nocardioidaceae; Aeromicrobium; panaciterrae; Gsoil 161
NR_042659.1,Aeromicrobium ponti strain HSW-1 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Propionibacteriales; Nocardioidaceae; Aeromicrobium; ponti; HSW-1
NR_043791.1,Aeromicrobium tamlense strain SSW1-57 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Propionibacteriales; Nocardioidaceae; Aeromicrobium; tamlense; SSW1-57
NR_043972.1,Aestuariimicrobium kwangyangense strain R27 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Propionibacteriales; Propionibacteriaceae; Aestuariimicrobium; kwangyangense; R27
NR_115022.1,Agreia bicolorata strain DSM 14575 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agreia; bicolorata; DSM 14575
NR_028755.1,Agreia bicolorata strain VKM Ac-1804 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agreia; bicolorata; VKM Ac-1804
NR_025460.1,Agreia pratensis strain P 229/10 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agreia; pratensis; P 229/10
NR_041543.1,Agrococcus baldri strain IAM 15147 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agrococcus; baldri; IAM 15147
NR_114797.1,Agrococcus baldri strain V-108 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agrococcus; baldri; V-108
NR_108611.1,Agrococcus carbonis strain G4 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agrococcus; carbonis; G4
NR_043595.1,Agrococcus casei strain LMG 22410 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agrococcus; casei; LMG 22410
NR_114698.1,Agrococcus citreus strain DSM 12453 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agrococcus; citreus; DSM 12453
NR_041542.1,Agrococcus citreus strain IAM 15145 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agrococcus; citreus; IAM 15145
NR_042551.1,Agrococcus jejuensis strain SSW1-48 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agrococcus; jejuensis; SSW1-48
NR_115028.1,Agrococcus jenensis strain DSM 9580 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agrococcus; jenensis; DSM 9580
NR_026275.1,Agrococcus jenensis strain DSM 9580 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agrococcus; jenensis; DSM 9580
NR_043587.1,Agrococcus lahaulensis strain K22-21 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agrococcus; lahaulensis; K22-21
NR_116650.1,Agrococcus terreus strain DNG5 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agrococcus; terreus; DNG5
NR_042693.1,Agrococcus versicolor strain K 114/01 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agrococcus; versicolor; K 114/01
NR_028846.1,Agromyces albus strain VKM Ac-1800 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agromyces; albus; VKM Ac-1800
NR_043931.1,Agromyces allii strain UMS-62 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agromyces; allii; UMS-62
NR_116743.1,Agromyces atrinae strain P27 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agromyces; atrinae; P27
NR_025168.1,Agromyces aurantiacus strain YIM 21741 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agromyces; aurantiacus; YIM 21741
NR_151958.1,Agromyces aureus strain AR33 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agromyces; aureus; AR33
NR_151957.1,Agromyces aureus strain AR33 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agromyces; aureus; AR33
NR_116877.1,Agromyces bauzanensis strain BZ41 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agromyces; bauzanensis; BZ41
NR_149268.1,Agromyces binzhouensis strain OAct353 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agromyces; binzhouensis; OAct353
NR_024717.1,Agromyces bracchium strain IFO 16238 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agromyces; bracchium; IFO 16238
NR_036873.1,Agromyces cerinus strain DSB MGU XI-15 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agromyces; cerinus; DSB MGU XI-15
NR_119081.1,Agromyces cerinus subsp. cerinus 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agromyces; cerinus; u-st
NR_115029.1,Agromyces cerinus subsp. cerinus 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agromyces; cerinus; u-st
NR_115030.1,Agromyces cerinus subsp. nitratus strain DSM 8596 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agromyces; cerinus; DSM 8596
NR_029092.1,Agromyces cerinus subsp. nitratus strain IMET 11532 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agromyces; cerinus; IMET 11532
NR_108380.1,Agromyces flavus strain CPCC 202695 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agromyces; flavus; CPCC 202695
NR_114935.1,Agromyces fucosus strain DSM 8597 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agromyces; fucosus; DSM 8597
NR_114399.1,Agromyces fucosus strain NBRC 15781 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agromyces; fucosus; NBRC 15781
NR_104982.1,Agromyces fucosus strain NBRC 15781 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agromyces; fucosus; NBRC 15781
NR_029130.1,Agromyces hippuratus strain DSB MGU 15-6 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agromyces; hippuratus; DSB MGU 15-6
NR_043027.1,Agromyces humatus strain CD5 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agromyces; humatus; CD5
NR_108908.1,Agromyces indicus strain NIO-1018 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agromyces; indicus; NIO-1018
NR_149229.1,Agromyces insulae strain CFH S0483 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agromyces; insulae; CFH S0483
NR_133690.1,Agromyces iriomotensis strain IY07-20 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agromyces; iriomotensis; IY07-20
NR_043026.1,Agromyces italicus strain CD1 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agromyces; italicus; CD1
NR_043028.1,Agromyces lapidis strain CD55 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agromyces; lapidis; CD55
NR_024716.1,Agromyces luteolus strain IFO 16235 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agromyces; luteolus; IFO 16235
NR_134692.1,Agromyces marinus strain H23-8 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agromyces; marinus; H23-8
NR_117879.1,Agromyces mediolanus strain JCM 3346 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agromyces; mediolanus; JCM 3346
NR_118453.1,Agromyces mediolanus strain VKM Ac-1388 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agromyces; mediolanus; VKM Ac-1388
NR_036937.1,Agromyces neolithicus strain 23-23 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agromyces; neolithicus; 23-23
NR_026165.1,Agromyces ramosus strain DSM 43045 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agromyces; ramosus; DSM 43045
NR_028610.1,Agromyces rhizospherae strain 14 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agromyces; rhizospherae; 14
NR_025797.1,Agromyces salentinus strain 20-5 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agromyces; salentinus; 20-5
NR_108543.1,Agromyces soli strain MJ21 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agromyces; soli; MJ21
NR_043149.1,Agromyces subbeticus strain Z33 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agromyces; subbeticus; Z33
NR_133691.1,Agromyces subtropicus strain IY07-56 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agromyces; subtropicus; IY07-56
NR_044184.1,Agromyces terreus strain DS-10 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agromyces; terreus; DS-10
NR_112811.1,Agromyces tropicus strain CM9-9 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agromyces; tropicus; CM9-9
NR_029108.1,Agromyces ulmi strain XIL01 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Agromyces; ulmi; XIL01
NR_116323.1,Alloactinosynnema album strain 03-9939 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Alloactinosynnema; album; 03-9939
NR_133693.1,Alloactinosynnema iranicum strain Chem10 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Alloactinosynnema; iranicum; Chem10
NR_158081.1,Allobranchiibius huperziae strain CPCC 204077 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Dermacoccaceae; Allobranchiibius; huperziae; CPCC 204077
NR_116964.1,Allocatelliglobosispora scoriae strain Sco-B14 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Allocatelliglobosispora; scoriae; Sco-B14
NR_148828.1,Allohumibacter endophyticus strain MWE-A11 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Allohumibacter; endophyticus; MWE-A11
NR_025570.1,Allokutzneria albata strain R 761-7 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Allokutzneria; albata; R 761-7
NR_109545.1,Allokutzneria multivorans strain YIM 120521 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Allokutzneria; multivorans; YIM 120521
NR_133959.1,Allokutzneria oryzae strain R8-39 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Allokutzneria; oryzae; R8-39
NR_132327.1,Allonocardiopsis opalescens strain I10A-01259 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; unclassified Streptosporangiales; Allonocardiopsis; opalescens; I10A-01259
NR_041347.1,Alloscardovia criceti DSM 17774 strain OMB105 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Alloscardovia; criceti; DSM 17774 | OMB105
NR_135716.1,Alloscardovia macacae strain M8 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Alloscardovia; macacae; M8
NR_042583.1,Alloscardovia omnicolens strain CCUG 31649 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Alloscardovia; omnicolens; CCUG 31649
NR_157705.1,Alloscardovia venturai strain MOZIV/2 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Alloscardovia; venturai; MOZIV/2
